Inglês,Português
you ,tu
i ,eu
the ,a
to ,para
a ,uma
choice,escolha
it ,isto
and ,e
that ,naquela
and ,e
of ,do
is ,é
in ,no
what ,o que
we ,nós
me ,mim
this ,isto
he ,ele 
for ,para
my ,minha
on ,sobre
have ,tenho
your ,sua
do ,Faz
was ,era
m ,M.
no ,não
not ,não
be ,ser
are ,estão
don ,vestir
re ,ré
know ,conhecer
can ,posso
with ,com
but ,mas
all ,tudo
so ,tão
just ,somente
there ,lá
here ,aqui
they ,elas
like ,gostar
Exit,Saída
get ,pegue
she ,ela
go ,ir
if ,E se
right ,direito
out ,Fora
about ,cerca de
up ,acima
at ,no
him ,dele
now ,agora
type,modelo
one ,1
come ,vir
well ,Nós vamos
her ,dela
how ,Como as
yeah ,sim
type it,Digite
will ,vai
got ,conseguiu
want ,quer
think ,pensar
as ,Como
see ,Vejo
did ,fez
good ,Boa
who ,quem
why ,porque
from ,a partir de
let ,deixar
his ,seu
yes ,sim
when ,quando
going ,indo
time ,Tempo
an ,um
okay ,Certo
back ,de volta
look ,olhar
us ,nós
would ,seria
them ,eles
where ,Onde
were ,estavam
take ,leva
then ,então
had ,teve
or ,ou
been ,estive
our ,nosso
gonna ,vai
tell ,contar
really ,realmente
man ,cara
some ,algum